f,g,C
"(285, 694, 389368262.9801337)","(271, 62, 337430176.9330219)",0.9769886438584962

"(663, 936, 388428479.4714358)","(642, 310, 322813028.2982105)",0.9400419147258969

"(352, 671, 385644443.7674173)","(339, 39, 339519065.3253207)",0.9854946014421152

"(436, 440, 384611225.50581187)","(442, 275, 270642530.8060983)",0.72719426193009

"(389, 881, 384487701.3009458)","(374, 253, 251223009.99185228)",0.901730621164142

"(324, 715, 383550726.50025946)","(311, 84, 333041533.2269657)",0.95514228832882

"(363, 466, 383135488.3087462)","(436, 398, 1223332086.114762)",0.7952090361575206

"(331, 871, 382599721.6673224)","(316, 241, 403784854.5581744)",0.9373882100076081

"(480, 973, 380689298.7166499)","(461, 342, 272739484.349203)",0.9751834542446836

"(437, 736, 378294476.1734417)","(424, 108, 369521497.7821733)",0.9351328862795546

"(370, 888, 371895713.6425944)","(355, 259, 271339755.26271665)",0.9897302242235761

"(552, 962, 371304867.1580821)","(531, 333, 243801521.69129995)",0.9887577766565254

"(428, 927, 368346397.44319093)","(411, 298, 275962652.74756444)",0.9173234373886239

"(377, 245, 367620398.3244728)","(320, 100, 990483247.1225374)",0.7717719443319017

"(612, 741, 364974339.8631511)","(601, 116, 392189757.51237464)",0.9917968107836314

"(727, 94, 363624617.02703846)","(669, 523, 429965688.36173666)",0.5503380500258979

"(627, 52, 362368049.26753783)","(634, 551, 241504396.8412474)",0.6030590360312185

"(592, 807, 361331350.61873525)","(578, 182, 280609124.45295686)",0.9728104158216578

"(557, 909, 360915986.4689212)","(538, 282, 364230392.22780716)",0.9677053591954522

"(340, 821, 358819848.45193446)","(326, 192, 363705008.83971673)",0.9863021861671152

"(605, 755, 357419623.94958603)","(593, 130, 291442191.9227207)",0.9740885119378486

"(414, 673, 356296557.5633104)","(403, 43, 346865593.39348996)",0.9397799746203638

"(375, 919, 355222206.02380013)","(359, 290, 290833567.5970532)",0.8580423716378597

"(578, 789, 353851205.6818671)","(565, 164, 265856771.1314991)",0.9835529130708015

"(586, 750, 352837281.81712484)","(575, 125, 332413697.83999276)",0.9670933874195776

"(391, 749, 350462151.78815144)","(378, 120, 377424300.33007735)",0.9854206170502848

"(343, 854, 349518064.95328957)","(328, 225, 273592456.5255649)",0.988583542412236

"(537, 667, 349062829.5102748)","(528, 39, 315373244.22522545)",0.9325386131762813

"(447, 74, 348705001.84145516)","(635, 459, 233985350.73581186)",0.7092442088547773

"(339, 816, 346702097.2741223)","(325, 187, 277189569.6335778)",0.9862897506135012

"(372, 656, 346538258.6133636)","(360, 24, 517629472.63669705)",0.9505998070265876

"(470, 854, 344900656.381274)","(455, 228, 260061078.8482694)",0.9024296830429832

"(524, 824, 344520207.205996)","(509, 198, 290069751.7191596)",0.9814450084836444

"(344, 782, 342729307.61159205)","(330, 153, 399052102.38198125)",0.9959393755715439

"(412, 885, 340372577.5803194)","(396, 257, 317726781.5449398)",0.9670657667354808

"(403, 864, 336332461.3178141)","(388, 236, 270996302.08305377)",0.9920827315018246

"(557, 980, 334992307.4312614)","(536, 350, 246044938.53148)",0.9813355218623528

"(367, 179, 330553314.4513309)","(696, 174, 427168408.5274534)",0.7917616616373693

"(434, 713, 326170428.9633596)","(422, 84, 387610414.4028135)",0.9545960282267988

"(390, 793, 326145187.8113661)","(376, 165, 295139317.4929751)",0.9908626277963181

